code,name,market,sector,signal,close,ret5d_pct,vol_ratio,atr_pct,turn20_oku,dev25_pct,above75,hi52w,ret1d_pct,flag_liquidity,flag_atr,flag_extended,flag_gap,ev_pct,win_rate,n_hist,ev_source,ev_stock_pct,n_stock,tp_ref,sl_ref
8309,三井住友トラストグループ,プライム,銀行業,pullback,1801.5,1.61,1.05,2.14,160.8,2.26,True,False,2.36,OK,OK,OK,OK,0.02,41.3,3420,地合い別,1.1,19,1891.6,1756.5
8630,ＳＯＭＰＯホールディングス,プライム,保険業,pullback,6888.0,1.29,1.05,2.14,150.8,1.27,True,False,1.77,OK,OK,OK,OK,0.02,41.3,3420,地合い別,0.12,8,7232.4,6715.8
8601,大和証券グループ本社,プライム,証券、商品先物取引業,pullback,1845.5,0.49,1.12,2.27,98.0,1.06,True,False,2.5,OK,OK,OK,OK,0.02,41.3,3420,地合い別,0.95,9,1937.8,1799.4
8729,ソニーフィナンシャルグループ,プライム,保険業,pullback,162.3000030517578,-0.43,1.0,2.14,95.1,0.59,True,False,2.14,OK,OK,OK,OK,0.02,41.3,3420,地合い別,5.33,1,170.4,158.2
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,プライム,陸運業,pullback,5793.0,5.69,1.0,2.14,57.2,3.62,True,False,2.42,OK,OK,OK,OK,0.02,41.3,3420,地合い別,-0.06,10,6082.7,5648.2
8354,ふくおかフィナンシャルグループ,プライム,銀行業,pullback,8008.0,3.53,1.38,2.29,52.4,3.31,True,False,4.56,OK,OK,OK,OK,0.02,41.3,3420,地合い別,1.19,11,8408.4,7807.8
9513,電源開発,プライム,電気・ガス業,pullback,4109.0,-1.68,1.14,2.3,21.3,0.14,True,False,0.42,OK,OK,OK,OK,0.02,41.3,3420,地合い別,-0.13,11,4314.4,4006.3
9008,京王電鉄,プライム,陸運業,pullback,795.0999755859375,-1.03,1.18,1.91,18.5,0.96,True,False,0.52,OK,OK,OK,OK,0.02,41.3,3420,地合い別,-0.97,9,834.9,775.2
5901,東洋製罐グループホールディングス,プライム,金属製品,pullback,4564.0,1.09,1.29,1.73,15.7,1.35,True,False,1.51,OK,OK,OK,OK,0.02,41.3,3420,地合い別,0.29,18,4792.2,4449.9
8410,セブン銀行,プライム,銀行業,pullback,346.70001220703125,0.67,1.24,1.7,13.2,2.4,True,False,1.7,OK,OK,OK,OK,0.02,41.3,3420,地合い別,0.84,10,364.0,338.0
9468,ＫＡＤＯＫＡＷＡ,プライム,情報・通信業,pullback,3665.0,-0.87,1.03,2.08,13.0,0.48,True,False,0.25,OK,OK,OK,OK,0.02,41.3,3420,地合い別,-1.42,5,3848.2,3573.4
3107,ダイワボウホールディングス,プライム,卸売業,pullback,3765.0,1.43,1.11,2.01,12.6,1.22,True,False,1.7,OK,OK,OK,OK,0.02,41.3,3420,地合い別,0.94,13,3953.2,3670.9
9003,相鉄ホールディングス,プライム,陸運業,pullback,2637.5,-0.53,2.09,1.46,11.3,0.53,True,False,0.48,OK,OK,OK,OK,0.02,41.3,3420,地合い別,0.73,6,2769.4,2571.6
8078,阪和興業,プライム,卸売業,pullback,1941.0,2.7,1.18,2.01,9.6,2.15,True,False,1.78,OK,OK,OK,OK,0.02,41.3,3420,地合い別,-2.03,7,2038.1,1892.5
7148,ＦＰＧ,プライム,証券、商品先物取引業,pullback,1710.0,1.12,1.35,1.8,8.8,1.21,True,False,0.06,OK,OK,OK,OK,0.02,41.3,3420,地合い別,-2.98,10,1795.5,1667.2
9031,西日本鉄道,プライム,陸運業,pullback,3125.0,-0.1,2.97,1.85,8.7,0.56,True,False,1.63,OK,OK,OK,OK,0.02,41.3,3420,地合い別,-1.69,4,3281.2,3046.9
8616,東海東京フィナンシャル・ホールディングス,プライム,証券、商品先物取引業,pullback,906.0,1.8,1.13,1.87,8.5,2.22,True,False,2.14,OK,OK,OK,OK,0.02,41.3,3420,地合い別,4.55,6,951.3,883.4
